<seg id="1">	Reinício da sessão
<seg id="224">	Basta pensar nos acidentes rodoviários que ocorreram nos últimos anos, por exemplo na Bélgica, nos Países Baixos e em vários outros países onde os caminhões que transportam mercadorias perigosas continuaram a circular em condições de nevoeiro quando, na verdade, deveriam ter saído da estrada. Ou navios da Europa de Leste que atracam junto a navios por aqui, com todos os riscos óbvios que isso acarreta.
<seg id="225">	Além disso, pesquisas nos portos da Bélgica, Finlândia, mas também no Japão, mostraram que 50% dos contêineres com cargas parcialmente perigosas não são entregues corretamente para embarque.
<seg id="226">	Resumindo, a questão é importante.
<seg id="227">	Se olharmos para a situação no que diz respeito aos conselheiros de segurança, em vários países é obrigatório empregar esses conselheiros de segurança nas empresas a partir de 1 de Janeiro deste ano.
<seg id="228">	No momento, haverá grandes problemas com a aplicação dessa regra, especialmente com empresas menores, uma vez que não podem pagar consultores de segurança.
<seg id="229">	Essas empresas menores descartam sua carga ou a misturam com outra carga, o que causa problemas.
<seg id="230">	Portanto, também está sendo solicitado que os certificados ISO 9002 possivelmente incluam os detalhes mais detalhados dessas atividades na forma de relatórios anuais e análises da empresa.
<seg id="231">	O trabalho está feito.
<seg id="232">	Tudo o que resta é a aplicação da lei.
<seg id="233">	Gostaria de mencionar um último ponto.
<seg id="234">	No que diz respeito à aplicação, também devem ser celebrados acordos adequados com os países do Leste Europeu, porque estes não celebrarão tratados que tratem desta matéria antes de 1 de Julho de 2001, ou seja, dentro de dezoito meses.
<seg id="235">	Isso lhes dá uma vantagem competitiva para o período intermediário.
<seg id="236">	Isto não é em si nada terrível, mas devemos dar prioridade particular aos aspectos de segurança das mercadorias transportadas por estrada, ferrovias e hidrovias e incorporá-los, como parte do acervo comunitário, o mais rapidamente possível e apresentá-los aos países aderentes.
<seg id="237">	Senhora Presidente, a importância da segurança dos transportes é regularmente realçada neste Parlamento e com razão.
<seg id="238">	O volume cada vez maior de mercadorias que transitam pela Europa acarreta todo o tipo de riscos, conhecidos e desconhecidos, para os trabalhadores e para o meio social.
<seg id="239">	Aqueles que têm que lidar com esses riscos devem, portanto, atender a requisitos rigorosos.
<seg id="240">	As normas relevantes estabelecidas numa outra directiva, 95/35 / CE, parecem suficientemente adequadas para aconselhar as pessoas de forma responsável sobre a organização do transporte de mercadorias perigosas.
<seg id="241">	Estou muito satisfeito por também ter sido alcançado um acordo com o Conselho sobre as normas mínimas relativas aos exames, embora eu preferisse que tivessem sido estabelecidas normas e módulos uniformes e definidos, de modo que os certificados tivessem o mesmo valor a nível internacional.
<seg id="242">	Isso, no entanto, não parece viável.
<seg id="243">	Por último, a alteração apresentada pelo relator é perfeitamente lógica e posso, portanto, dar-lhe o meu apoio incondicional.
<seg id="244">	Senhor Presidente, Senhor Comissário, antes de mais gostaria de felicitar o senhor deputado Koch pelos seus relatórios que, embora técnicos, são, no entanto, de grande importância para a segurança.
<seg id="245">	Gostaria de fazer apenas alguns comentários.
<seg id="246">	Em primeiro lugar, gostaria de pedir ao Senhor Comissário - e estou convicto de que o meu pedido cairá em terreno fértil - que se dê mais atenção à questão da segurança, seja nas estradas, nas vias navegáveis ​​ou no mar.
<seg id="247">	Considerando que só hoje se trata de uma proposta da Comissão apresentada pela primeira vez em 19 de Março de 1998, embora o Parlamento tenha respondido com relativa rapidez, este lapso de tempo é um pouco longo.
<seg id="248">	A culpa não é só da Comissão, mas creio que temos de agir com maior celeridade para conseguirmos uma harmonização também neste domínio.
<seg id="249">	O meu segundo ponto já foi mencionado: diz respeito aos padrões mínimos.
<seg id="250">	Em princípio, creio que, em muitos casos, no que diz respeito aos transportes, deveríamos trabalhar no sentido de uma maior flexibilidade e de regras específicas para cada país.
<seg id="251">	No entanto, quando se trata de segurança, sou bastante cético porque a segurança na Suécia, por exemplo, não é, em princípio, diferente da segurança na Alemanha, Itália ou Áustria.
<seg id="252">	Posso viver com estes padrões mínimos, mas peço à Comissão que acompanhe a situação com muito cuidado.
<seg id="253">	Se uma flexibilidade deste tipo resultar na existência de regras inadequadas em alguns países, devemos trabalhar no sentido de uma maior harmonização.
<seg id="254">	Meu terceiro ponto também já foi mencionado.
<seg id="255">	Como sabem, tal como o senhor deputado Rack, venho de um país de trânsito, onde esta questão desempenha um papel particularmente importante.
<seg id="256">	Não queremos agravar unilateralmente as condições de concorrência para alguns países e melhorá-las para países como a Áustria ou outros países de trânsito.
<seg id="257">	Mas creio que devemos fazer tudo o que estiver ao nosso alcance para reduzir ao mínimo o transporte de mercadorias perigosas, em todos os países, sejam eles de trânsito ou não.
<seg id="258">	Senhor Presidente, em primeiro lugar, gostaria de felicitar o relator, senhor deputado Koch, pelo seu magnífico trabalho e pela positiva cooperação com a Comissão no que se refere ao melhoramento dos textos e à apresentação deste relatório e desta proposta; no final, existe apenas uma alteração sobre os requisitos para o exame de aptidão dos conselheiros de segurança no transporte de mercadorias perigosas por estrada, ferrovias ou hidrovias.
<seg id="259">	Compreendemos que é importante que as duas instituições - Parlamento e Comissão - cooperem e trabalhem juntas e que a atual cooperação com a Comissão dos Direitos Regional, e em particular o grupo de transporte, é magnífica.
<seg id="260">	A posição comum inclui praticamente todas as alterações aceites pela Comissão e harmoniza os requisitos mínimos de exame dos conselheiros de segurança e, em segunda leitura, podemos aceitar a alteração na data proposta, que é muito mais realista do que a inicialmente sugerida pela Comissão, sabendo que já passámos vários anos debatendo esta questão.
<seg id="261">	Muito brevemente, gostaria de agradecer aos vários colegas as suas intervenções e dizer-lhes que a segurança é uma das prioridades da Comissão no domínio dos transportes.
<seg id="262">	Como o senhor deputado Simpson disse muito corretamente, este é um processo que nunca podemos considerar garantido ou considerar encerrado.
<seg id="263">	O processo de aumento das margens de segurança e garantias de segurança no transporte é um processo que deve ser aprimorado a cada dia.
<seg id="264">	Sobre isso, gostaria também de me falar muito brevemente sobre problemas dos túneis, aos quais os Srs. Rack e Swoboda se referiram, que, no caso da Áustria, é sem dúvida uma questão muito delicada, e grande esforço deve ser feito para melhorar sua segurança.
<seg id="265">	Em um dos piores acidentes ocorridos recentemente, as mercadorias transportadas não eram consideradas perigosas.
<seg id="266">	Margarina e alguns quilos de tinta que, a princípio, não apresentam riscos, causaram um verdadeiro desastre.
<seg id="267">	Portanto, teremos que ver como os requisitos que garantem o grau máximo de segurança podem ser melhorados.
<seg id="268">	Por fim, gostaria de dizer que devemos considerar a segurança em todos os tipos de transporte.
<seg id="269">	Esta semana vamos realizar um debate aqui sobre a segurança dos transportes marítimos, em virtude da catástrofe do Erika, e no decorrer deste ano teremos de discutir os nossos objetivos em termos de segurança dos transportes aéreos.
<seg id="270">	Mas gostaria de dizer que a segurança é um objetivo prioritário da Comissão.
<seg id="271">	Como direi no debate sobre a catástrofe do Erika, não esperaremos até que haja uma catástrofe para tratar da questão da segurança, mas trabalhamos nisso mesmo quando não existam tais circunstâncias, que servem simplesmente para demonstrar a urgência de uma resposta eficaz a este tipo de problema.
<seg id="272">	Gostaria de reiterar o meu gratidão a todos os oradores e, em especial, ao relator, senhor deputado Koch.
<seg id="273">	O debate está encerrado.
<seg id="274">	A votação acontecerá amanhã, às 12H00.
</doc>
